table_name,column_name,foreign_table_name,foreign_column_name
email_events,campaign_id,email_campaigns,id
business_members,business_id,businesses,id
subscriptions,business_id,businesses,id
subscriptions,plan_id,plans,id
payments,business_id,businesses,id
payments,subscription_id,subscriptions,id
usage_counters,business_id,businesses,id
contacts,business_id,businesses,id
tags,business_id,businesses,id
contact_tags,contact_id,contacts,id
contact_tags,tag_id,tags,id
contact_notes,contact_id,contacts,id
contact_notes,author_member_id,business_members,id
categories,business_id,businesses,id
categories,parent_id,categories,id
products,business_id,businesses,id
products,category_id,categories,id
catalog_settings,business_id,businesses,id
crm_settings,business_id,businesses,id
email_events,contact_id,contacts,id
messages,conversation_id,conversations,id
email_lists,business_id,businesses,id
list_contacts,list_id,email_lists,id
list_contacts,contact_id,contacts,id
email_templates,business_id,businesses,id
email_automations,business_id,businesses,id
email_automations,trigger_event,event_types,key
email_automations,template_id,email_templates,id
email_campaigns,business_id,businesses,id
email_campaigns,template_id,email_templates,id
email_campaigns,list_id,email_lists,id
email_config,business_id,businesses,id
automations,business_id,businesses,id
automations,trigger_event,event_types,key
automation_logs,automation_id,automations,id
automation_logs,contact_id,contacts,id
social_accounts,business_id,businesses,id
social_account_secrets,social_account_id,social_accounts,id
chatbots,business_id,businesses,id
chatbots,social_account_id,social_accounts,id
chatbot_campaigns,business_id,businesses,id
chatbot_campaign_items,campaign_id,chatbot_campaigns,id
chatbot_campaign_items,chatbot_id,chatbots,id
conversations,business_id,businesses,id
conversations,contact_id,contacts,id
conversations,assigned_to,business_members,id
messages,sender_member_id,business_members,id
inbox_settings,business_id,businesses,id
onboarding_steps,business_id,businesses,id
notification_settings,business_id,businesses,id
notifications,business_id,businesses,id
notifications,member_id,business_members,id
